--a, --b, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
0.5, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.5, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.5, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.5, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.5, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.5, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227193302492041
0.55, 0.0, 0.15285714285714283, 0.2912521795916187, 0.008540213407130489
0.55, 0.05, 0.14, 0.2272568490794343, 0.008025839936363074
0.55, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.55, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.00796324744689011
0.55, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.55, 0.25, 0.14, 0.24951130142216915, 0.008008087839215033
0.55, 0.30000000000000004, 0.14, 0.24316209507296277, 0.00800821050660603
0.55, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.55, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.55, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.55, 0.5, 0.12000000000000001, 0.23070082543348325, 0.006918080821696725
0.55, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.55, 0.6000000000000001, 0.11142857142857143, 0.22435882229529266, 0.0064189794155582935
0.55, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.55, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.55, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234947202915823
0.55, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.55, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.55, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.55, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.55, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.6000000000000001, 0.0, 0.15428571428571425, 0.29141269323527846, 0.008614418527775237
0.6000000000000001, 0.05, 0.14, 0.2272568490794343, 0.008025839936363074
0.6000000000000001, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.6000000000000001, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.6000000000000001, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.6000000000000001, 0.25, 0.14, 0.24951130142216915, 0.008008212625985639
0.6000000000000001, 0.30000000000000004, 0.14, 0.24316209507296277, 0.00800821050660603
0.6000000000000001, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.6000000000000001, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.6000000000000001, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.6000000000000001, 0.5, 0.12000000000000001, 0.23070082543348325, 0.006918080821696725
0.6000000000000001, 0.55, 0.11571428571428571, 0.22720519497156066, 0.006687269346561332
0.6000000000000001, 0.6000000000000001, 0.11142857142857143, 0.22435882229529266, 0.0064189794155582935
0.6000000000000001, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.6000000000000001, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.6000000000000001, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.6000000000000001, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.6000000000000001, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.6000000000000001, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.6000000000000001, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.6000000000000001, 1.0, 0.11142857142857142, 0.2431738698454132, 0.00628634274843394
0.65, 0.0, 0.15428571428571425, 0.29141269323527846, 0.008614418527775237
